name,sites
4620: Introduction to Computer Graphics,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS4620/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4620', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS4620/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4620/2021fa/'}]"
4621: Computer Graphics Practicum,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS4621/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4621'}]"
4670: Introduction to Computer Vision,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS4670/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4670', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS4670/2021sp/'}]"
4700: Foundations of Artificial Intelligence,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS4700/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4700', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4700/2021fa/'}]"
4701: Practicum in Artificial Intelligence,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS4701/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4701', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4701/2021fa/'}]"
4740: Natural Language Processing,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS4740/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4740', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS4740/2020fa/'}]"
4744: Computational Linguistics,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4744'}]
4750: Foundations of Robotics,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS4750/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4750', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS4750/2019fa/'}]"
4754: Re-Designing Robots,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4754'}]
4758: Autonomous Mobile Robots,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4758'}]
4775: Computational Genetics and Genomics,[{' CR': 'https://classes.cornell.edu/browse/roster/FA20/class/CS/4775'}]
4780: Introduction to Machine Learning,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS4780/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4780', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4780/2021fa/'}]"
4783: Mathematical Foundations of Machine Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4783'}]
4786: Machine Learning for Data Science,"[{'Fall 17': 'http://www.cs.cornell.edu/courses/CS4786/2017fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/4786', 'Spring 19': 'http://www.cs.cornell.edu/courses/CS4786/2019sp/', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS4786/2020sp/'}]"
4787: Principles of Large-Scale Machine Learning Systems,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS4787/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/4787', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS4787/2020sp/', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS4787/2021sp/'}]"
4789: Introduction to Reinforcement Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4789'}]
4810: Introduction to Theory of Computing,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS4810/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4810', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS4810/2019fa/', 'Spring 22': 'http://www.cs.cornell.edu/courses/CS4810/2022sp/'}]"
4812: Quantum Information Processing,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS4812/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4812', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS4812/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4812/2021fa/'}]"
4814: Introduction to Computational Complexity,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS4814/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/4814', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS4814/2021sp/'}]"
4820: Introduction to Analysis of Algorithms,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4820'}]
4830: Introduction to Cryptography,"[{'Spring 17': 'https://cs4830-sp17.jimdo.com/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4830'}]"
4850: Mathematical Foundations for the Information Age,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS4850/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4850', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS4850/2020sp/'}]"
4852: Networks II: Market Design,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4852'}]
4860: Applied Logic,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS4860/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/4860', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS4860/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS4860/2021fa/'}]"
4990: International Research Internship,[{' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/4990'}]
