,book,url,author,category
68,Open Data Structures: An Introduction,https://open.umn.edu/opentextbooks/textbooks/open-data-structures-an-introduction,Pat Morin (Carleton University),datastructures
69,Foundations of Computation,https://open.umn.edu/opentextbooks/textbooks/foundations-of-computation,"Carol Critchlow, David Eck (Hobart and William Smith Colleges)",introduction
70,Information Systems for Business and Beyond,https://open.umn.edu/opentextbooks/textbooks/information-systems-for-business-and-beyond,"David T. Bourgeois (Biola University), James L. Smith, Joseph Mortati",misc
71,Programming Fundamentals - A Modular Structured Approach using C++,https://open.umn.edu/opentextbooks/textbooks/programming-fundamentals-a-modular-structured-approach-using-c,Kenneth Leroy Busbee (Houston Community College),cprogramming
72,Algorithms and Data Structures With Applications to Graphics and Geometry,https://open.umn.edu/opentextbooks/textbooks/algorithms-and-data-structures-with-applications-to-graphics-and-geometry,"Jurg Nievergelt (ETH Zurich), Klaus Hinrichs (University of Muenster)","algorithms, datastructures"
73,Physical Modeling in MATLAB,https://open.umn.edu/opentextbooks/textbooks/physical-modeling-in-matlab,"Allen B. Downey, (Franklin W. Olin College of Engineering)",matlab
74,The Little Book of Semaphores,https://open.umn.edu/opentextbooks/textbooks/the-little-book-of-semaphores,"Allen B. Downey, (Franklin W. Olin College of Engineering)",misc
75,Essentials of Geographic Information Systems,https://open.umn.edu/opentextbooks/textbooks/essentials-of-geographic-information-systems,"Jonathan Campbell, Michael Shin (UCLA)",gis
76,Information Systems: A Manager's Guide to Harnessing Technology,https://open.umn.edu/opentextbooks/textbooks/information-systems-a-manager-s-guide-to-harnessing-technology,University of Minnesota,systems
77,Data Structures and Algorithm Analysis,https://people.cs.vt.edu/~shaffer/Book/C++3elatest.pdf,Clifford A. Shaffer (Virginia Tech),"algorithms, datastructures"
78,Building Blocks for Theoretical Computer Science,https://mfleck.cs.illinois.edu/building-blocks/,Margaret M. Fleck,theory
79,Open Data Structures (Java Edtition),http://opendatastructures.org/ods-python/,Pat Morin (Carleton University),"java, datastructures"
80,Open Data Structures (C++ Edition),http://opendatastructures.org/ods-java/,Pat Morin (Carleton University),"cprogramming, datastructures"
81,Open Data Structures (Pseudocode Edition),http://opendatastructures.org/ods-cpp/,Pat Morin (Carleton University),datastructures
82,Matters Computational,http://www.jjj.de/fxt/#fxtbook,Jörg Arndt,misc
